country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Latvia,,,,,,,,,661,2670,11600,16400,21700,27000,36000,90300,112000,130000,141000
Lebanon,,,,,,,,,,,,,,,,,104,,
Lesotho,,,,,17,44,35,59,82,97,70,2620,37000,49500,67500,80300,116000,150000,177000
Liberia,,,,,,,,17,,35,1920,14300,20500,26000,34900,41100,58900,76000,89500
Libya,,,,,,27,57,47,,36,31,43,35,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,52000
Lithuania,,,,,,,,29,251,1450,5050,16000,21400,26800,35800,90400,112000,130000,141000
Luxembourg,554,14800,16900,18900,23800,28400,34800,36000,40000,43500,51200,58100,70900,107000,144000,160000,199000,231000,252000
"Macedonia, FYR",,,,,,,,,,128,236,3180,19000,26200,35100,89400,112000,130000,141000
Madagascar,,359,605,880,1300,1790,3140,4340,5880,8350,12300,15800,20800,26200,34900,41300,59000,76100,89500
Malawi,26,389,677,939,1340,1840,3200,4400,5950,8440,16100,28900,39000,49900,67800,80400,116000,151000,177000
Malaysia,,1340,245,3520,1620,1850,2310,2430,2410,2880,3590,4050,,6450,,,,,
Malta,15,20,17,22,17,15,19,27,25,24,42,24,24,46,34,83,116,133,202
Mauritius,10,9,21,5,16,11,4,10,12,6,17,7,22,15,15,,,,
Mexico,4000,4050,4010,4410,4550,4740,5290,5270,7700,8210,9940,23700,30700,35900,44700,50000,66900,82500,94700
Moldova,,,,,,,,,,103,7600,15900,20500,25300,34100,40500,58400,76000,89600
Monaco,62,531,727,1020,1450,1960,3350,4730,29600,32700,37700,41700,49600,81300,111000,120000,140000,155000,162000
Mongolia,2,39,75,67,75,92,73,1160,4940,8390,12500,16000,21000,26400,35200,41200,59000,76200,90000
Morocco,322,290,254,306,321,264,329,356,,298,360,381,327,,,3650,52000,74500,89300
Mozambique,,,,,,,,,,,,,,,,,56600,146000,176000
Namibia,,,,,,,163,133,,133,,,,,,,,,
Nepal,,,,,,,,,3,9,5,8,,,,,,,
Netherlands,3980,31300,33700,36500,42000,47300,53500,51400,55900,58800,66100,63700,66800,90600,115000,124000,144000,159000,166000
New Zealand,4010,3980,4090,4280,4430,4470,4670,4530,4550,12600,17300,20700,28400,35100,39700,47600,67900,83300,93400
Nicaragua,49,35,39,,,,,,42,36,,35,,105,154,145,143,,50
Nigeria,,441,,,1520,,258,,,,,,,,,,,,
North Korea,,533,4770,5430,6490,8530,10000,4550,6170,8380,12300,15700,20600,25500,33900,40400,57800,74700,88100
Norway,5290,6730,6870,8310,9460,10100,11900,12600,14100,14700,18600,21700,27200,32000,44300,50700,68100,84400,91200
Oman,,,,,,,,,,,,,,,,,,2170,75800
Pakistan,,,,,,,547,524,622,636,605,699,798,,,,1200,1230,
Panama,113,92,94,76,88,50,68,87,84,100,97,78,173,,,,160,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,33
