country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Burkina Faso,,,,,,256,254,272,276,277,274,272,274,270,287,286,306,298,310,315,312,316,338,330,317,336,353,343,353,351,341,362,353,354,349,360,392,403,421,439,431,447,455,476,483,511,529,541,563,562,560,572,602,618,613,616,645,666
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,239,232,232,225,227,217,218,216,222,225,229,228,230,232,235,240,243,227,218,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,344,352,357,389,419,440,456,490,530,587,641,702,733,720,750,788,828,867,916,960,1010,1060
Cameroon,,,,,,,,735,773,813,824,849,864,832,906,1000,920,883,1240,1320,1110,1360,1460,1530,1630,1720,1810,1720,1550,1460,1300,1190,1130,1020,1000,1010,1030,1050,1090,1110,1090,1100,1130,1180,1240,1230,1260,1270,1290,1300,1300,1310,1330,1360,1420,1450,1470,1480
Canada,,,,,,,,,,,24300,24900,25900,27200,27700,27600,28600,29200,29900,30700,30900,31400,30000,30700,32100,33300,33600,34600,35700,35800,35200,34100,33900,34500,35600,36300,36600,37800,38900,40500,42500,42800,43800,44200,45200,46200,47300,47800,47800,45800,46500,47500,47900,48600,49400,49600,49700,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3140,3290,3220,3170,3270,3260,3270,3200,3240,3310,3400
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,436,449,460,478,302,304,316,326,336
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698,676,781,867,846,892,891,924,938,862,815
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8270,8780,9100,8900,9210,9420,9550,9630,9970,10300,10400,10900,11700,11500,11900,12700,13500,14000,14200,14500,14400,14500
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210,1320,1430,1520,1630,1750,1880,2050,2250,2470,2720,3060,3500,3830,4140,4540,4930,5320,5680,6120,6470,6870,7310
Colombia,2210,2250,2300,2300,2380,2360,2420,2420,2540,2610,2680,2790,2930,3070,3200,3160,3250,3330,3540,3660,3740,3710,3600,3550,3570,3570,3730,3830,3930,3940,4110,4150,4300,4360,4610,4770,4770,4850,4830,4560,4670,4670,4710,4790,4970,5130,5410,5700,5810,5870,6010,6280,6510,6780,7050,7310,7470,7410
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808,808,802,798,793,798,800,793,772,769,768,769,772,783,781,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,368,351,366,335,324,292,285,263,268,276,285,289,297,304,304,310,320,327,336,338,359,378,399,401
"Congo, Rep.",1880,1970,2030,1900,1920,1930,1910,1910,1990,2070,2120,2230,2360,2420,2550,2650,2580,2280,2340,2450,2730,3240,3810,3830,4100,3950,3880,3780,3320,3250,3010,3050,3180,2860,2770,2020,2030,2260,2610,2040,1800,2020,2050,2000,1830,1510,1360,1590,1840,2070,2060,2020,2410,2590,3010,3870,3460,2970
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7650,7950,7660,7930,8170,8480,8520,8700,8890,9140,9240
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1180,1180,1100,1190,1250,1350,1430,1510,1580
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8470,9300,9770,10000,9700,10400,10700,11300,11700,12400,12900,13400,14200,14400,13300,13200,13600,13300,13300,13400,14000,14200,14900
